Source;Target;Type;Weight
1;311;Undirected;1
2;3;Undirected;1
4;5;Undirected;2
4;111;Undirected;8
5;111;Undirected;2
6;2;Undirected;6
6;4;Undirected;4
2;4;Undirected;16
257;145;Undirected;1
257;159;Undirected;1
257;2;Undirected;4
145;159;Undirected;2
145;2;Undirected;11
159;2;Undirected;9
7;315;Undirected;2
7;8;Undirected;1
7;141;Undirected;1
315;8;Undirected;1
315;141;Undirected;1
8;141;Undirected;1
9;313;Undirected;1
10;2;Undirected;4
7;2;Undirected;2
7;125;Undirected;1
2;125;Undirected;6
11;12;Undirected;6
10;125;Undirected;1
13;119;Undirected;1
13;111;Undirected;6
119;111;Undirected;5
7;14;Undirected;1
14;2;Undirected;5
131;12;Undirected;2
131;15;Undirected;4
131;2;Undirected;5
131;317;Undirected;1
12;15;Undirected;3
12;2;Undirected;14
12;317;Undirected;1
15;2;Undirected;2
15;317;Undirected;1
2;317;Undirected;2
18;325;Undirected;1
18;133;Undirected;3
325;133;Undirected;1
19;127;Undirected;2
20;111;Undirected;1
137;21;Undirected;1
137;301;Undirected;1
21;301;Undirected;2
159;22;Undirected;3
3;337;Undirected;1
3;145;Undirected;1
337;145;Undirected;2
9;20;Undirected;2
9;17;Undirected;1
9;355;Undirected;3
20;17;Undirected;1
20;355;Undirected;2
17;355;Undirected;2
24;337;Undirected;1
24;151;Undirected;2
24;25;Undirected;1
24;26;Undirected;1
337;151;Undirected;2
337;25;Undirected;1
337;26;Undirected;2
151;25;Undirected;3
151;26;Undirected;1
25;26;Undirected;2
18;2;Undirected;12
27;18;Undirected;3
27;17;Undirected;1
27;175;Undirected;2
18;17;Undirected;2
18;175;Undirected;1
17;175;Undirected;1
2;28;Undirected;5
2;129;Undirected;3
129;18;Undirected;1
2;153;Undirected;4
2;30;Undirected;2
2;133;Undirected;4
153;30;Undirected;1
153;133;Undirected;1
30;133;Undirected;3
1;2;Undirected;9
1;31;Undirected;2
1;357;Undirected;2
2;31;Undirected;4
2;357;Undirected;5
31;357;Undirected;2
2;119;Undirected;6
32;2;Undirected;5
32;13;Undirected;1
32;33;Undirected;1
32;145;Undirected;1
2;13;Undirected;12
2;33;Undirected;6
13;33;Undirected;4
13;145;Undirected;4
33;145;Undirected;1
35;2;Undirected;8
35;205;Undirected;4
35;325;Undirected;2
2;205;Undirected;3
2;325;Undirected;16
205;325;Undirected;3
36;155;Undirected;1
337;181;Undirected;3
337;37;Undirected;2
181;37;Undirected;3
181;181;Undirected;9
121;151;Undirected;6
121;155;Undirected;1
151;155;Undirected;2
2;38;Undirected;2
2;16;Undirected;8
38;16;Undirected;1
2;21;Undirected;3
2;115;Undirected;2
21;115;Undirected;1
18;13;Undirected;1
29;111;Undirected;1
29;197;Undirected;1
29;155;Undirected;1
111;197;Undirected;5
111;155;Undirected;7
197;155;Undirected;1
29;2;Undirected;5
29;151;Undirected;1
2;151;Undirected;23
18;3;Undirected;1
17;3;Undirected;1
173;283;Undirected;1
173;127;Undirected;1
283;127;Undirected;1
2;41;Undirected;5
139;173;Undirected;1
119;42;Undirected;2
111;2;Undirected;43
111;205;Undirected;2
111;325;Undirected;4
223;43;Undirected;1
223;143;Undirected;1
43;143;Undirected;2
18;279;Undirected;2
18;181;Undirected;2
279;181;Undirected;2
279;2;Undirected;3
181;2;Undirected;8
325;325;Undirected;28
16;21;Undirected;1
44;139;Undirected;1
44;157;Undirected;1
44;37;Undirected;1
139;157;Undirected;1
139;37;Undirected;3
157;37;Undirected;1
18;111;Undirected;6
27;111;Undirected;5
111;111;Undirected;17
2;209;Undirected;22
2;27;Undirected;3
2;45;Undirected;5
2;311;Undirected;1
41;27;Undirected;1
41;45;Undirected;1
41;209;Undirected;1
41;311;Undirected;1
27;45;Undirected;1
27;209;Undirected;1
27;311;Undirected;1
45;209;Undirected;1
45;311;Undirected;1
209;311;Undirected;1
2;127;Undirected;12
2;355;Undirected;6
127;355;Undirected;1
127;151;Undirected;2
355;151;Undirected;1
133;133;Undirected;5
133;12;Undirected;4
46;175;Undirected;1
39;2;Undirected;3
111;47;Undirected;1
111;209;Undirected;10
47;209;Undirected;2
47;2;Undirected;2
209;209;Undirected;5
147;48;Undirected;1
147;2;Undirected;5
147;49;Undirected;3
48;2;Undirected;2
48;49;Undirected;1
2;49;Undirected;4
159;50;Undirected;2
22;50;Undirected;2
10;157;Undirected;3
10;51;Undirected;1
10;143;Undirected;1
157;2;Undirected;8
157;51;Undirected;1
157;143;Undirected;1
2;51;Undirected;4
2;143;Undirected;10
51;143;Undirected;1
37;325;Undirected;1
37;52;Undirected;1
37;213;Undirected;1
37;169;Undirected;1
325;52;Undirected;1
325;213;Undirected;1
325;169;Undirected;1
52;213;Undirected;1
52;169;Undirected;1
213;169;Undirected;1
2;167;Undirected;4
147;209;Undirected;2
147;12;Undirected;8
147;11;Undirected;2
147;111;Undirected;3
147;147;Undirected;9
209;12;Undirected;10
209;11;Undirected;2
12;111;Undirected;4
11;111;Undirected;1
53;119;Undirected;2
53;111;Undirected;2
181;149;Undirected;1
181;54;Undirected;2
181;40;Undirected;3
2;149;Undirected;9
2;54;Undirected;7
2;40;Undirected;4
149;54;Undirected;1
149;40;Undirected;2
54;40;Undirected;3
55;301;Undirected;1
8;189;Undirected;2
8;3;Undirected;1
189;3;Undirected;2
189;189;Undirected;1
2;173;Undirected;2
47;13;Undirected;2
47;14;Undirected;2
47;173;Undirected;1
13;14;Undirected;2
13;173;Undirected;1
14;173;Undirected;1
56;9;Undirected;1
56;325;Undirected;5
56;355;Undirected;1
9;325;Undirected;1
325;355;Undirected;3
155;137;Undirected;1
155;217;Undirected;1
111;137;Undirected;4
111;217;Undirected;5
137;217;Undirected;1
57;111;Undirected;5
57;58;Undirected;1
57;181;Undirected;2
111;58;Undirected;3
111;181;Undirected;7
58;181;Undirected;3
115;115;Undirected;2
115;49;Undirected;3
16;159;Undirected;2
16;143;Undirected;5
159;143;Undirected;6
59;299;Undirected;1
59;60;Undirected;1
299;60;Undirected;1
12;127;Undirected;1
127;209;Undirected;2
61;177;Undirected;3
61;62;Undirected;1
61;295;Undirected;1
177;62;Undirected;1
177;295;Undirected;1
62;295;Undirected;1
2;19;Undirected;4
2;63;Undirected;6
19;63;Undirected;2
19;12;Undirected;2
63;12;Undirected;1
34;249;Undirected;1
271;57;Undirected;2
271;64;Undirected;1
57;64;Undirected;1
61;209;Undirected;3
177;209;Undirected;4
139;21;Undirected;2
139;65;Undirected;3
139;335;Undirected;1
21;65;Undirected;1
21;335;Undirected;1
65;335;Undirected;1
13;30;Undirected;1
13;16;Undirected;5
13;139;Undirected;2
30;145;Undirected;2
30;16;Undirected;1
30;139;Undirected;1
145;16;Undirected;2
145;139;Undirected;3
16;139;Undirected;8
44;57;Undirected;1
44;319;Undirected;2
57;319;Undirected;5
319;319;Undirected;2
131;125;Undirected;2
15;125;Undirected;3
133;67;Undirected;2
67;12;Undirected;4
13;68;Undirected;2
13;69;Undirected;1
47;68;Undirected;1
47;69;Undirected;1
68;69;Undirected;2
239;243;Undirected;1
239;70;Undirected;1
239;2;Undirected;6
239;4;Undirected;2
243;70;Undirected;1
243;2;Undirected;4
243;4;Undirected;1
70;2;Undirected;5
70;4;Undirected;1
39;127;Undirected;1
39;60;Undirected;1
127;60;Undirected;1
2;123;Undirected;1
131;25;Undirected;1
131;71;Undirected;1
25;71;Undirected;3
155;54;Undirected;2
155;16;Undirected;7
155;143;Undirected;4
54;16;Undirected;2
54;143;Undirected;1
39;8;Undirected;1
39;54;Undirected;1
8;54;Undirected;4
20;261;Undirected;1
20;72;Undirected;1
261;9;Undirected;1
261;72;Undirected;1
9;72;Undirected;2
54;209;Undirected;3
73;199;Undirected;1
73;211;Undirected;1
73;12;Undirected;3
73;111;Undirected;1
199;211;Undirected;1
199;12;Undirected;1
199;111;Undirected;1
211;12;Undirected;1
211;111;Undirected;3
12;143;Undirected;4
39;351;Undirected;1
39;353;Undirected;2
39;231;Undirected;1
351;353;Undirected;1
351;231;Undirected;1
353;231;Undirected;1
309;63;Undirected;1
309;50;Undirected;1
63;50;Undirected;3
74;147;Undirected;1
74;12;Undirected;1
21;145;Undirected;3
21;315;Undirected;1
145;315;Undirected;1
145;301;Undirected;1
315;301;Undirected;1
9;139;Undirected;13
9;117;Undirected;4
9;187;Undirected;1
139;117;Undirected;1
139;187;Undirected;1
117;187;Undirected;1
64;13;Undirected;2
64;145;Undirected;2
64;16;Undirected;1
75;355;Undirected;1
75;12;Undirected;5
75;11;Undirected;2
75;221;Undirected;2
355;12;Undirected;4
355;11;Undirected;1
355;221;Undirected;2
12;221;Undirected;2
11;221;Undirected;2
221;221;Undirected;1
21;213;Undirected;3
21;111;Undirected;5
213;145;Undirected;3
213;111;Undirected;5
145;111;Undirected;6
23;76;Undirected;1
209;57;Undirected;1
209;77;Undirected;1
2;57;Undirected;6
2;77;Undirected;5
57;77;Undirected;1
51;169;Undirected;4
169;2;Undirected;2
179;229;Undirected;1
179;167;Undirected;1
229;167;Undirected;1
133;78;Undirected;1
133;311;Undirected;3
18;78;Undirected;1
18;311;Undirected;1
78;311;Undirected;1
12;79;Undirected;7
12;329;Undirected;5
12;80;Undirected;1
79;329;Undirected;6
79;80;Undirected;1
329;80;Undirected;5
64;2;Undirected;2
64;1;Undirected;1
81;2;Undirected;2
81;153;Undirected;1
81;125;Undirected;1
153;125;Undirected;1
199;39;Undirected;1
199;279;Undirected;1
39;279;Undirected;1
82;181;Undirected;3
83;187;Undirected;1
83;22;Undirected;1
83;159;Undirected;1
83;50;Undirected;2
187;22;Undirected;1
187;159;Undirected;2
187;50;Undirected;1
325;41;Undirected;1
325;14;Undirected;2
325;12;Undirected;1
41;14;Undirected;1
41;12;Undirected;3
14;12;Undirected;1
205;261;Undirected;1
261;35;Undirected;2
12;145;Undirected;1
2;67;Undirected;14
67;145;Undirected;1
167;14;Undirected;2
167;343;Undirected;2
167;207;Undirected;2
167;56;Undirected;1
14;343;Undirected;2
14;207;Undirected;1
14;56;Undirected;1
343;207;Undirected;1
343;56;Undirected;1
207;56;Undirected;1
157;209;Undirected;1
157;325;Undirected;1
157;177;Undirected;1
209;325;Undirected;1
325;177;Undirected;2
51;159;Undirected;2
51;49;Undirected;1
51;151;Undirected;1
159;49;Undirected;2
159;151;Undirected;2
159;159;Undirected;3
49;151;Undirected;3
27;25;Undirected;1
25;18;Undirected;1
57;60;Undirected;2
319;60;Undirected;2
2;84;Undirected;9
355;84;Undirected;2
51;297;Undirected;1
2;85;Undirected;5
85;27;Undirected;1
18;113;Undirected;1
18;12;Undirected;7
18;313;Undirected;1
113;12;Undirected;1
113;313;Undirected;1
113;279;Undirected;1
113;181;Undirected;1
12;313;Undirected;1
12;279;Undirected;1
12;181;Undirected;1
313;279;Undirected;1
313;181;Undirected;1
2;82;Undirected;4
285;211;Undirected;2
285;65;Undirected;1
285;207;Undirected;1
285;1;Undirected;1
285;2;Undirected;2
211;65;Undirected;3
211;207;Undirected;1
211;1;Undirected;2
211;2;Undirected;4
65;207;Undirected;2
65;1;Undirected;1
65;2;Undirected;8
207;1;Undirected;1
207;2;Undirected;1
12;16;Undirected;1
12;157;Undirected;2
16;157;Undirected;2
1;9;Undirected;1
1;139;Undirected;3
1;16;Undirected;1
9;16;Undirected;4
139;139;Undirected;6
151;287;Undirected;2
121;287;Undirected;1
121;181;Undirected;4
121;86;Undirected;3
181;86;Undirected;1
36;87;Undirected;1
36;133;Undirected;1
87;133;Undirected;2
12;125;Undirected;2
131;11;Undirected;1
131;79;Undirected;1
131;18;Undirected;1
11;15;Undirected;1
11;125;Undirected;1
11;79;Undirected;2
11;18;Undirected;1
15;79;Undirected;1
15;18;Undirected;1
125;79;Undirected;1
125;18;Undirected;2
79;18;Undirected;5
71;337;Undirected;1
71;88;Undirected;1
71;117;Undirected;1
71;26;Undirected;2
337;88;Undirected;1
337;117;Undirected;1
88;117;Undirected;1
88;26;Undirected;1
117;26;Undirected;1
155;47;Undirected;1
47;16;Undirected;1
47;54;Undirected;1
143;153;Undirected;1
143;111;Undirected;8
153;111;Undirected;2
153;12;Undirected;1
155;21;Undirected;1
155;213;Undirected;2
72;117;Undirected;1
48;111;Undirected;2
48;201;Undirected;1
48;217;Undirected;2
111;201;Undirected;3
201;217;Undirected;1
6;145;Undirected;1
6;139;Undirected;1
6;111;Undirected;3
6;213;Undirected;2
6;21;Undirected;1
139;111;Undirected;2
139;213;Undirected;1
181;117;Undirected;1
181;9;Undirected;3
2;86;Undirected;4
2;225;Undirected;6
86;225;Undirected;1
57;78;Undirected;1
57;151;Undirected;1
78;151;Undirected;1
12;167;Undirected;2
75;111;Undirected;1
75;167;Undirected;2
111;167;Undirected;3
157;191;Undirected;1
157;165;Undirected;1
191;165;Undirected;1
12;159;Undirected;1
12;60;Undirected;1
67;159;Undirected;1
67;60;Undirected;1
159;60;Undirected;2
2;60;Undirected;2
12;173;Undirected;1
209;73;Undirected;1
209;173;Undirected;1
73;173;Undirected;1
12;171;Undirected;2
12;235;Undirected;2
329;171;Undirected;3
329;235;Undirected;8
329;355;Undirected;2
171;235;Undirected;3
171;79;Undirected;3
171;355;Undirected;1
235;79;Undirected;3
235;355;Undirected;1
79;355;Undirected;1
2;9;Undirected;17
9;67;Undirected;1
151;119;Undirected;1
151;4;Undirected;3
119;4;Undirected;1
12;9;Undirected;1
12;151;Undirected;3
18;157;Undirected;2
18;151;Undirected;4
157;125;Undirected;2
157;151;Undirected;3
125;151;Undirected;3
209;151;Undirected;2
209;33;Undirected;1
151;33;Undirected;2
12;245;Undirected;1
11;67;Undirected;1
11;245;Undirected;1
75;67;Undirected;2
75;245;Undirected;1
67;245;Undirected;2
89;121;Undirected;2
2;79;Undirected;1
2;75;Undirected;2
79;75;Undirected;1
79;84;Undirected;1
75;84;Undirected;1
211;181;Undirected;2
211;82;Undirected;1
209;36;Undirected;3
15;75;Undirected;1
15;167;Undirected;1
119;321;Undirected;1
329;18;Undirected;2
171;18;Undirected;1
133;26;Undirected;1
133;135;Undirected;1
26;135;Undirected;1
325;145;Undirected;4
325;279;Undirected;1
325;44;Undirected;1
145;279;Undirected;1
145;44;Undirected;1
279;44;Undirected;1
4;84;Undirected;1
4;60;Undirected;1
4;355;Undirected;1
84;60;Undirected;1
60;355;Undirected;1
17;25;Undirected;2
151;151;Undirected;6
151;111;Undirected;9
119;83;Undirected;1
42;83;Undirected;1
119;335;Undirected;1
209;1;Undirected;1
209;185;Undirected;1
2;185;Undirected;1
2;11;Undirected;1
1;185;Undirected;2
1;11;Undirected;1
185;11;Undirected;1
4;61;Undirected;3
4;90;Undirected;2
61;239;Undirected;2
61;111;Undirected;2
61;90;Undirected;1
239;111;Undirected;4
239;90;Undirected;1
111;90;Undirected;3
353;353;Undirected;1
38;299;Undirected;1
38;173;Undirected;1
299;173;Undirected;2
71;151;Undirected;3
71;125;Undirected;1
329;32;Undirected;1
32;355;Undirected;1
2;87;Undirected;2
2;91;Undirected;7
87;91;Undirected;2
353;199;Undirected;1
353;13;Undirected;1
199;13;Undirected;1
213;28;Undirected;2
213;2;Undirected;1
48;233;Undirected;1
48;249;Undirected;1
111;233;Undirected;2
111;249;Undirected;1
233;249;Undirected;1
233;217;Undirected;2
249;217;Undirected;1
235;18;Undirected;1
117;127;Undirected;2
117;143;Undirected;2
127;143;Undirected;4
143;143;Undirected;1
53;133;Undirected;1
133;131;Undirected;3
133;225;Undirected;1
131;225;Undirected;1
175;2;Undirected;8
175;175;Undirected;6
61;73;Undirected;1
61;1;Undirected;1
61;273;Undirected;1
61;155;Undirected;2
73;1;Undirected;1
73;273;Undirected;1
73;155;Undirected;1
1;273;Undirected;1
1;155;Undirected;1
273;155;Undirected;1
111;16;Undirected;4
111;49;Undirected;2
16;49;Undirected;1
263;2;Undirected;3
263;217;Undirected;1
2;217;Undirected;4
151;149;Undirected;2
151;40;Undirected;1
133;159;Undirected;1
133;213;Undirected;1
133;187;Undirected;1
159;213;Undirected;2
213;187;Undirected;1
2;92;Undirected;4
92;19;Undirected;2
11;59;Undirected;1
59;79;Undirected;1
233;2;Undirected;1
233;121;Undirected;1
233;65;Undirected;1
2;121;Undirected;13
121;65;Undirected;3
67;277;Undirected;3
75;277;Undirected;1
2;277;Undirected;4
181;139;Undirected;4
16;61;Undirected;1
16;181;Undirected;1
13;61;Undirected;2
13;181;Undirected;1
61;181;Undirected;1
155;2;Undirected;7
155;239;Undirected;2
239;16;Undirected;1
239;151;Undirected;1
16;151;Undirected;3
49;45;Undirected;1
49;225;Undirected;1
49;29;Undirected;1
45;225;Undirected;1
45;29;Undirected;1
45;147;Undirected;2
225;29;Undirected;1
225;147;Undirected;2
29;147;Undirected;2
2;62;Undirected;2
62;243;Undirected;1
209;279;Undirected;1
111;279;Undirected;2
279;61;Undirected;1
223;355;Undirected;1
223;115;Undirected;1
355;115;Undirected;1
25;13;Undirected;1
25;12;Undirected;2
13;12;Undirected;2
13;71;Undirected;1
12;71;Undirected;2
299;131;Undirected;1
299;335;Undirected;1
299;155;Undirected;1
131;173;Undirected;1
131;335;Undirected;1
131;155;Undirected;1
173;335;Undirected;1
173;155;Undirected;1
335;155;Undirected;2
239;227;Undirected;1
155;227;Undirected;1
51;211;Undirected;2
51;201;Undirected;1
51;147;Undirected;1
211;201;Undirected;1
211;147;Undirected;1
201;147;Undirected;2
52;339;Undirected;6
52;311;Undirected;2
52;143;Undirected;3
52;111;Undirected;2
339;339;Undirected;2
339;311;Undirected;2
339;143;Undirected;3
339;111;Undirected;3
311;143;Undirected;1
311;111;Undirected;1
209;82;Undirected;1
82;36;Undirected;1
195;165;Undirected;2
343;6;Undirected;2
343;343;Undirected;1
343;315;Undirected;2
6;315;Undirected;1
2;331;Undirected;4
2;37;Undirected;2
331;37;Undirected;1
353;355;Undirected;1
353;253;Undirected;1
355;253;Undirected;1
58;263;Undirected;1
58;9;Undirected;1
263;181;Undirected;1
263;9;Undirected;1
12;92;Undirected;1
2;25;Undirected;2
92;25;Undirected;1
92;209;Undirected;1
25;209;Undirected;1
251;181;Undirected;1
1;45;Undirected;1
2;42;Undirected;1
67;169;Undirected;1
67;42;Undirected;1
169;42;Undirected;1
209;297;Undirected;3
52;67;Undirected;1
52;2;Undirected;2
339;67;Undirected;1
339;2;Undirected;5
67;143;Undirected;1
2;297;Undirected;8
50;34;Undirected;1
50;87;Undirected;1
34;87;Undirected;3
209;287;Undirected;1
209;145;Undirected;1
297;287;Undirected;1
297;145;Undirected;1
287;145;Undirected;1
35;71;Undirected;1
35;9;Undirected;2
71;9;Undirected;1
297;58;Undirected;1
297;113;Undirected;1
58;2;Undirected;1
58;113;Undirected;1
2;113;Undirected;4
111;307;Undirected;1
239;307;Undirected;1
12;255;Undirected;1
73;255;Undirected;1
227;111;Undirected;1
227;297;Undirected;1
111;297;Undirected;3
147;36;Undirected;1
36;12;Undirected;1
19;4;Undirected;1
12;4;Undirected;1
209;93;Undirected;1
209;8;Undirected;2
93;8;Undirected;1
297;203;Undirected;2
297;175;Undirected;2
203;203;Undirected;13
203;175;Undirected;2
94;255;Undirected;7
255;255;Undirected;3
169;169;Undirected;4
169;267;Undirected;2
169;111;Undirected;2
267;111;Undirected;2
207;255;Undirected;1
207;223;Undirected;1
207;23;Undirected;1
255;223;Undirected;1
255;23;Undirected;1
223;23;Undirected;1
71;253;Undirected;2
71;17;Undirected;1
253;253;Undirected;1
253;17;Undirected;2
253;25;Undirected;2
133;157;Undirected;1
133;121;Undirected;1
157;121;Undirected;3
12;241;Undirected;1
241;143;Undirected;1
241;18;Undirected;1
241;71;Undirected;1
241;355;Undirected;1
143;18;Undirected;1
143;71;Undirected;1
143;355;Undirected;1
